what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1301688732582
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1301688732844
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1301688733141
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1301688741845
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1301688756178
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1301688757548
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1301688761729
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1301688766954
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1301688780187
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1301688783091
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1301688785938
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1301688792991
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1301688812744
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1301688820842
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1301688822798
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1301688822957
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1301688828624
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1301688832346
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301688837978
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1301688839034
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1301688843385
